Date ,Daily Mean Cloud Quantity (%),Daily Mean Relative Humidity (%),Daily Mean Temperature (°C),Daily Range of Temperature (°C),Daily Mean Wind Speed (km/h),Daily Total Rainfall (mm),Typhoon (Y/N)
3/12/1999,100,86,16,1.6,11.7,Trace,No
3/13/1999,100,92,17.2,1.8,20.2,0.3,No
3/14/1999,99,92,17.8,2.3,15.9,Trace,No
3/15/1999,80,66,17.7,2.3,9.8,0,No
3/16/1999,86,78,17.7,2.6,17.6,0.5,No
3/17/1999,95,90,19.5,3.4,20.6,3.6,No
3/18/1999,82,88,24.7,6.4,8.3,1.9,No
3/19/1999,83,85,26,2.6,5.5,Trace,No
3/20/1999,87,86,25.6,6.6,9.9,Trace,No
3/21/1999,100,93,19.2,6.8,18.5,3.5,No
3/22/1999,91,82,15.1,3.7,14.4,0.9,No
3/23/1999,100,87,17,2.6,21.4,0.2,No
3/24/1999,95,92,19.8,4.3,19.8,Trace,No
3/25/1999,84,92,22.4,5,12.2,0,No
3/26/1999,78,84,25.5,4.9,4,0,No
3/27/1999,67,84,25.9,8.3,6.5,3.4,No
3/28/1999,92,83,20,2.6,28.8,0.1,No
3/29/1999,93,84,19.3,2.5,18.4,0.5,No
3/30/1999,57,69,19,6.2,8.7,Trace,No
3/31/1999,34,72,20.7,5.4,17.7,0.1,No
4/1/1999,69,77,22.8,6,17.7,0.1,No
4/2/1999,80,75,25,5.9,12.2,0.2,No
4/3/1999,92,78,20.6,4.4,25.8,0.1,No
4/4/1999,98,77,20.8,2.9,10.8,Trace,No
4/5/1999,56,67,21.8,4.9,7.5,0,No
4/6/1999,2,55,23.2,6.5,13.4,0,No
4/7/1999,26,60,23.5,5.1,17.5,0,No
4/8/1999,77,76,23.2,4.2,17.8,Trace,No
4/9/1999,79,83,24.5,4.4,12.1,Trace,No
4/10/1999,64,76,25.9,6.4,13.5,Trace,No
4/11/1999,90,83,23.6,3.1,20.4,2.5,No
4/12/1999,84,91,24.5,4.5,8.7,81.5,No
4/13/1999,60,80,24.9,5.5,22,Trace,No
4/14/1999,84,72,22.3,2.9,26.7,Trace,No
4/15/1999,82,78,22.9,3.4,22,Trace,No
4/16/1999,83,84,25.1,3.4,14.1,0,No
4/17/1999,88,83,27.1,3.9,6.2,Trace,No
4/18/1999,77,81,27.7,2.7,11.6,Trace,No
4/19/1999,87,88,25.2,3.5,7.1,8.4,No
4/20/1999,97,90,24.2,2.8,16.4,0.7,No
4/21/1999,85,87,24,4.4,15.9,16.8,No
4/22/1999,66,82,26,7.3,5.5,0.4,No
4/23/1999,59,81,27.3,6,6.6,Trace,No
4/24/1999,76,80,27.5,4.1,8.5,Trace,No
4/25/1999,61,83,27.6,3.8,13.4,Trace,No
4/26/1999,65,85,27.1,5.3,16.6,5.4,No
4/27/1999,89,77,24.8,2.8,18,Trace,No
4/28/1999,85,69,23.9,4.5,15.3,0,Yes
4/29/1999,97,87,20.6,4,20.6,58.9,Yes
4/30/1999,96,81,20.6,4.6,20.6,1.9,Yes
5/1/1999,91,81,23.1,3.7,28.8,5.7,Yes
5/2/1999,90,86,23,2.2,24,9.6,Yes
5/3/1999,54,77,25.5,5.4,10.1,0,No
5/4/1999,43,79,26.6,5.4,9.8,0,No
5/5/1999,98,87,22.7,4.9,6.7,29,No
5/6/1999,94,82,19.7,4.6,17.3,9.1,No
5/7/1999,87,72,21.5,5.7,15.3,1,No
5/8/1999,95,85,20.4,4,20.5,10.8,No
5/9/1999,87,92,19.7,1.9,4.4,24,No
5/10/1999,53,74,23.2,7.5,3.8,0,No
5/11/1999,57,77,24.7,6.7,6.2,0,No
5/12/1999,87,84,24.7,3.3,12.1,0.5,No
5/13/1999,80,81,25.2,4.3,8.9,0,No
5/14/1999,86,81,25.7,4.5,13.3,Trace,No
5/15/1999,86,86,25.8,3.2,11.8,Trace,No
5/16/1999,85,80,27.3,4.2,4.5,Trace,No
5/17/1999,80,77,28.5,4.4,14,Trace,No
5/18/1999,87,81,27.6,5.6,12,2.1,No
5/19/1999,95,90,24.5,2.8,2.4,46.9,No
5/20/1999,88,78,24.8,2.2,23,Trace,No
5/21/1999,88,82,24.8,1.7,19.1,2.9,No
5/22/1999,84,88,25.9,3.8,15,0.5,No
5/23/1999,79,82,27.6,4.3,5.1,Trace,No
5/24/1999,82,79,28.4,3.7,11.2,Trace,No
5/25/1999,88,79,28.3,4.7,9.2,3.7,No
5/26/1999,87,78,28.5,6,17.1,1.3,No
5/27/1999,96,90,24.2,3.3,7.5,28.1,No
5/28/1999,93,83,22.9,1.9,10.5,1.9,No
5/29/1999,93,78,23.7,3.1,17.5,0.7,No
5/30/1999,89,83,25.8,5.1,16.8,Trace,No
5/31/1999,61,83,26.9,5,15.3,Trace,No
6/1/1999,58,83,27.8,4.7,13.4,Trace,No
6/2/1999,32,77,29,6.6,5.8,0,Yes
6/3/1999,40,80,29.1,5.7,12.9,0,Yes
6/4/1999,49,79,29,5.1,14.5,0,Yes
6/5/1999,82,82,28.1,4,13.6,0,Yes
6/6/1999,83,70,30.1,7.1,12.8,Trace,Yes
6/7/1999,99,90,26.6,5.8,21.7,61.3,Yes
6/8/1999,93,82,28.1,4,9.8,19.2,Yes
6/9/1999,78,82,28.8,4.8,6.4,3.3,No
6/10/1999,67,80,29.1,4.9,5.3,0.9,No
6/11/1999,62,75,29.3,4.4,10.7,Trace,No
6/12/1999,58,75,29.4,4.3,13.3,0,No
6/13/1999,51,73,29.5,4.9,10.2,0,No
6/14/1999,44,73,29.7,4.5,10.1,0,No
6/15/1999,79,75,29.3,3.5,10.4,Trace,No
6/16/1999,88,76,29.5,4.5,5.5,Trace,No
6/17/1999,86,86,28.1,4.6,5.3,19,No
6/18/1999,84,80,28.8,4.8,4.8,5.6,No
6/19/1999,81,80,29.1,4.9,4.9,5,No
6/20/1999,78,86,28.1,3,6.2,4.5,No
6/21/1999,91,88,27.7,4.7,5.7,53.1,No
6/22/1999,88,80,28.9,4.8,6.7,7.7,No
6/23/1999,82,79,28.8,3.6,6.3,0.4,No
6/24/1999,84,77,29.4,3.4,6.4,Trace,No
6/25/1999,76,76,29.5,4.7,5.9,0.9,No
6/26/1999,76,80,28.9,3.7,5.5,10.8,No
6/27/1999,73,75,29.5,4.8,6.5,Trace,No
6/28/1999,83,75,29.4,4.9,8.8,0.2,No
6/29/1999,82,76,29.4,5.5,6.5,2.9,No
6/30/1999,82,78,28.9,5.4,5.2,2.6,No
7/1/1999,86,77,29.3,3.7,5,0.2,No
7/2/1999,74,78,29.4,6,5.4,9,No
7/3/1999,86,84,28.3,4.7,5.2,8,No
7/4/1999,85,89,26.8,3.5,3.9,5,No
7/5/1999,86,85,27,4.9,5.7,16.3,No
7/6/1999,87,86,26.7,4.2,7.2,14.2,No
7/7/1999,88,85,27.7,4.1,10.4,2.7,No
7/8/1999,90,84,28,5.9,11,32.2,No
7/9/1999,88,85,28.2,3.6,8.9,21.5,No
7/10/1999,86,79,29.3,3,6.5,0.3,No
7/11/1999,84,77,29.6,3.6,6,Trace,No
7/12/1999,83,78,29.7,3.8,4.8,0,No
7/13/1999,86,82,29.3,6,6.1,41.8,No
7/14/1999,81,77,30,6.6,4.9,2.3,No
7/15/1999,83,79,29.5,5.5,4.7,5.5,No
7/16/1999,87,79,29.6,4.3,6.5,2,No
7/17/1999,82,79,29.6,3.7,8.2,6.3,No
7/18/1999,88,82,29.3,2.5,14.9,2.3,No
7/19/1999,86,81,29.8,4.3,14.4,Trace,No
7/20/1999,81,79,30.1,4.5,12.3,Trace,No
7/21/1999,80,79,30.4,4.1,10.3,0,No
7/22/1999,78,80,30,4.1,10.7,Trace,No
7/23/1999,74,79,30,4.5,9.3,2.3,No
7/24/1999,65,78,30.5,5.4,14.1,0.6,No
7/25/1999,80,75,30,3.9,24.2,0.8,Yes
7/26/1999,89,83,28.3,4.6,25.2,25.8,Yes
7/27/1999,90,82,28,4.5,15.9,4.4,Yes
7/28/1999,73,78,29.6,5.6,7.3,Trace,No
7/29/1999,63,81,29.8,4.5,8.3,0,No
7/30/1999,73,80,30,4.2,15.3,0,No
7/31/1999,86,81,29.8,3.2,16.6,0.3,No
8/1/1999,70,77,30,4.3,9.9,Trace,No
8/2/1999,68,78,29.8,5.2,4.8,6.2,No
8/3/1999,84,80,29.7,3.1,7.3,Trace,No
8/4/1999,86,87,28.3,4.6,12.6,39.9,No
8/5/1999,86,82,28.4,7.3,11.9,42.3,No
8/6/1999,88,80,28.6,5.3,14.7,Trace,No
8/7/1999,85,79,29.8,3.7,9.6,0,No
8/8/1999,86,78,29.6,5.9,6.8,3.3,No
8/9/1999,91,84,28.8,3.4,7.2,19.5,No
8/10/1999,89,87,27.8,6,7.5,32.3,No
8/11/1999,93,89,27.2,4.4,6.3,41.8,No
8/12/1999,97,85,27.8,2.8,12.9,25.6,No
8/13/1999,95,89,26.9,3,4.9,20.2,No
8/14/1999,89,84,28.3,4.1,5.5,15.8,No
8/15/1999,79,82,29.2,5.5,8.9,5,No
8/16/1999,61,78,29.4,4.1,5.4,Trace,No
8/17/1999,60,73,29.6,4.5,9.3,0,No
8/18/1999,47,72,29.6,4.9,10.7,0,No
8/19/1999,41,78,29.7,5.5,7.2,0,Yes
8/20/1999,14,73,30.5,5.3,10.4,0,Yes
8/21/1999,76,75,29.8,8.9,10.7,6.8,Yes
8/22/1999,95,81,26.5,4.9,31.7,157.9,Yes
8/23/1999,100,90,25,2.4,11.4,207.4,Yes
8/24/1999,95,89,25.7,3.4,6.7,174.9,No
8/25/1999,92,92,25.7,3.5,6.2,69.2,No
8/26/1999,86,85,27.5,5.7,7.2,0.3,No
8/27/1999,88,84,28,4,6.5,0,No
8/28/1999,91,88,27,4.4,5.5,10.6,No
8/29/1999,85,86,27.4,3.1,5.5,8.4,No
8/30/1999,85,77,28.4,3.9,5,Trace,No
8/31/1999,87,82,28.2,5,4.5,4.6,No
9/1/1999,79,84,27.7,5.8,5,11.5,Yes
9/2/1999,71,77,28.5,5.7,5.3,1.1,Yes
9/3/1999,69,75,28.9,6,5.7,0,Yes
9/4/1999,85,75,28.9,3.5,10.6,Trace,Yes
9/5/1999,80,87,28.2,2.4,9.4,3.8,No
9/6/1999,71,83,29,4.5,15,Trace,No
9/7/1999,59,82,29.2,3.7,12.4,Trace,No
9/8/1999,77,83,28.5,3.9,8.6,3.9,No
9/9/1999,62,79,28.3,3.3,4,0.5,No
9/10/1999,52,76,29.1,5.1,5.7,Trace,No
9/11/1999,39,75,29.7,4.8,7.2,0,No
9/12/1999,72,77,29.8,4.6,8.1,Trace,Yes
9/13/1999,86,79,29.7,4.7,8.8,1.4,Yes
9/14/1999,81,70,30.2,5.2,10,0.4,Yes
9/15/1999,90,71,29,3.8,25.1,1.4,Yes
9/16/1999,100,91,25.2,3.6,35.8,276,Yes
9/17/1999,93,84,27.2,3.7,5.8,5,Yes
9/18/1999,82,78,28.4,4.8,5.4,Trace,No
9/19/1999,75,86,27.7,3.4,7.6,15.4,No
9/20/1999,61,87,27,4.9,5.4,4.3,No
9/21/1999,73,73,26.9,4.7,10,Trace,No
9/22/1999,16,58,26.1,5.7,11.2,0,No
9/23/1999,10,62,26.2,6.3,9.5,0,No
9/24/1999,47,63,26.6,6,13.2,0,Yes
9/25/1999,84,69,25.7,3.5,11.8,1.4,Yes
9/26/1999,91,85,24.8,3.1,17,26.7,Yes
9/27/1999,88,83,26.7,6.2,19.4,6.4,No
9/28/1999,90,87,26.8,3.1,21.3,6.5,No
9/29/1999,72,80,27.8,4.3,14,0,No
9/30/1999,36,78,27.3,4.2,14.1,0,No
10/1/1999,73,78,27.5,3.9,13.6,0,No
10/2/1999,56,78,28.1,4.9,11.2,Trace,No
10/3/1999,74,81,27.5,5.7,18.6,5.6,Yes
10/4/1999,83,76,26,2.9,17.4,1.1,Yes
10/5/1999,82,69,26.8,5,9,Trace,Yes
10/6/1999,85,66,27.7,5.5,10.1,0,Yes
10/7/1999,76,63,28.4,6.1,11.3,0,Yes
10/8/1999,85,66,27.3,4.2,14.5,Trace,Yes
10/9/1999,25,71,27.6,3.8,14.6,0,Yes
10/10/1999,19,79,28,4.7,6.4,0,Yes
10/11/1999,32,80,28.3,5.1,9.7,0,No
10/12/1999,62,80,27.6,2.7,16.9,Trace,No
10/13/1999,53,78,27.9,4,15.5,0.1,No
10/14/1999,30,77,28.1,4.4,18.8,0,No
10/15/1999,39,76,28.2,4.4,15,0,No
10/16/1999,77,78,26.6,5.1,13.2,30.8,No
10/17/1999,66,64,23.3,4,18.8,0,No
10/18/1999,77,56,22.4,4.3,16.1,Trace,No
10/19/1999,88,60,23.9,2.5,15.9,Trace,No
10/20/1999,85,72,24.9,3.7,16.1,Trace,No
10/21/1999,54,74,25.2,2.9,20,Trace,No
10/22/1999,45,73,25.3,3,17,Trace,No
10/23/1999,51,73,25.6,4.7,18,0.4,No
10/24/1999,68,79,24.6,3.1,15.4,0.8,No
10/25/1999,46,67,24.8,3.6,17.7,0,No
10/26/1999,48,78,25.1,3.5,13.2,0,No
10/27/1999,72,76,24.9,3.2,12.6,0,No
10/28/1999,39,76,25.2,3.4,14.8,0,No
10/29/1999,71,79,25.3,4,15.4,0,No
10/30/1999,86,79,24.7,1.5,22.7,0,No
10/31/1999,66,78,25.4,3.4,15.2,0,No
11/1/1999,70,61,24.8,6,12.7,0,No
11/2/1999,84,50,21.1,3.7,13.3,Trace,No
11/3/1999,29,57,21.6,5.4,15.4,0,No
11/4/1999,74,67,22.8,4.3,18.2,0,No
11/5/1999,71,71,23.8,3.4,19.7,0,No
11/6/1999,83,76,24.1,3.1,19.6,Trace,No
11/7/1999,81,76,24.4,3.3,19.5,0,No
11/8/1999,88,72,24.9,4.2,15.1,Trace,No
11/9/1999,88,77,23.7,2.6,11.3,Trace,No
11/10/1999,53,70,23.4,3.8,20,Trace,No
11/11/1999,77,79,23.6,3.8,16.2,Trace,No
11/12/1999,95,89,21.9,2.5,12.3,15.7,No
11/13/1999,88,78,22.7,2.7,14.3,Trace,No
11/14/1999,38,77,23.1,4.5,13.5,0,No
11/15/1999,2,51,23.4,5.7,9.1,0,No
11/16/1999,21,64,21.1,4.4,17.1,Trace,No
11/17/1999,16,62,20.4,4.3,13.3,Trace,No
11/18/1999,13,65,19.5,4.7,8.8,Trace,No
11/19/1999,24,72,21.3,4.7,9,Trace,No
11/20/1999,54,73,22,4.2,14,0,No
11/21/1999,47,77,22.3,4,13.9,0,No
11/22/1999,69,80,22.9,3.1,14.3,0,No
11/23/1999,23,78,23.1,5.1,11.7,0,No
11/24/1999,30,74,23,3.2,11,0,No
11/25/1999,8,73,23.3,5.1,10.2,0,No
11/26/1999,55,76,22.2,2.3,23.2,Trace,No
11/27/1999,65,75,22.4,3.5,18,0,No
11/28/1999,44,57,18.7,7.3,14.3,0,No
11/29/1999,51,57,16.1,4.8,12.4,0,No
11/30/1999,62,58,18.5,5.5,9.5,0,No
12/1/1999,51,57,20.5,5.8,6.3,0,No
12/2/1999,60,62,20,3.9,13.5,0,No
12/3/1999,90,73,18.2,3.7,12.3,8.7,No
12/4/1999,96,71,18.7,3.5,7.9,0.7,No
12/5/1999,85,68,18.7,3.5,12.8,Trace,No
12/6/1999,83,60,16.7,3.2,13.2,Trace,No
12/7/1999,49,49,16.8,4,11.6,0,No
12/8/1999,12,49,17.9,5.6,9.2,0,No
12/9/1999,12,50,18.7,5.7,10.2,0,No
12/10/1999,38,65,19.2,5.6,8.1,0,No
12/11/1999,45,58,20.1,5.4,11.7,0,No
12/12/1999,84,65,19.8,1.5,18.2,Trace,No
12/13/1999,74,74,20.3,3.1,11.9,Trace,No
12/14/1999,84,56,20.2,3.5,9.7,0,No
12/15/1999,83,59,19.6,4.4,14.3,0,No
12/16/1999,94,78,18.5,2.6,9.5,2.8,No
12/17/1999,99,88,16.9,1.6,7,10.8,No
12/18/1999,100,86,14.5,3.1,12,5.6,No
12/19/1999,89,73,14.2,3.8,15.3,4.3,No
12/20/1999,4,47,12.5,4.8,15.1,0,No
12/21/1999,0,36,10.6,5.1,14.7,0,No
12/22/1999,1,30,8.5,3.5,20.7,0,No
12/23/1999,1,31,9.2,6.2,10.8,0,No
12/24/1999,0,27,12.7,7.5,14.1,0,No
12/25/1999,0,40,13.7,6,6.6,0,No
12/26/1999,29,57,15,6.1,11.5,0,No
12/27/1999,87,66,16.4,2.5,18.2,Trace,No
12/28/1999,43,72,18.1,4.8,13.2,0,No
12/29/1999,64,78,17.8,3.9,7.2,0,No
12/30/1999,8,72,18.7,6.4,8.7,0,No
12/31/1999,1,63,18.9,3.8,16.7,0,No
1/1/2000,6,69,19.2,5.5,9.7,0,No
1/2/2000,2,64,20.4,5.8,5.2,0,No
1/3/2000,10,67,19.2,2.3,18.7,0,No
1/4/2000,60,74,18.9,3,19.3,0,No
1/5/2000,40,75,20.6,4.9,12.5,0,No
1/6/2000,48,85,21.2,4.2,6.7,0,No
1/7/2000,88,81,18.9,2.9,19.5,0,No
1/8/2000,46,77,18.5,3.4,15.7,0,No
1/9/2000,71,82,19.9,4.5,3,0,No
1/10/2000,78,81,20.1,3.4,18.3,Trace,No
1/11/2000,94,83,19.3,2.1,19.9,Trace,No
1/12/2000,59,86,21.6,4.1,7.2,Trace,No
1/13/2000,90,86,19.5,2.6,16.2,Trace,No
1/14/2000,92,84,18.2,1,22.2,Trace,No
1/15/2000,82,83,18.5,2.3,20.4,0,No
1/16/2000,74,84,19.2,3.3,13,0,No
1/17/2000,89,74,17.2,4.3,9.5,0,No
1/18/2000,95,68,13.3,3.3,13.5,0,No
1/19/2000,54,58,12.7,5.3,12.4,0,No
1/20/2000,19,62,14.1,3.5,21.6,0,No
1/21/2000,85,70,15.2,3.5,23,0,No
1/22/2000,89,72,17.9,2.9,16.7,Trace,No
1/23/2000,100,95,18.6,2.4,15.2,32.6,No
1/24/2000,100,96,18.3,0.9,16.3,30.8,No
1/25/2000,100,84,12.9,7.3,13.7,6.8,No
1/26/2000,73,69,9.8,3.7,15,Trace,No
1/27/2000,13,55,10,5.5,12.1,0,No
1/28/2000,55,60,12.3,5.7,12.9,0,No
1/29/2000,40,65,15.1,5.2,10.7,0,No
1/30/2000,40,54,14.4,5.8,9.7,0,No
1/31/2000,88,62,12,3.1,10.9,0.1,No
2/1/2000,85,77,10.8,4.4,8.8,4.8,No
2/2/2000,88,83,12.8,5.6,7.6,1.6,No
2/3/2000,88,83,15.7,5.4,7.6,0.6,No
2/4/2000,86,84,16.2,3.3,19.1,Trace,No
2/5/2000,28,83,17,5.7,10.1,0,No
2/6/2000,13,72,16.2,4.5,13,0,No
2/7/2000,54,69,16.4,5.2,8.5,0,No
2/8/2000,28,61,14.6,5,13.4,0,No
2/9/2000,27,67,14.7,3.4,22,0,No
2/10/2000,82,78,15.6,3.5,18.8,0,No
2/11/2000,31,76,18.1,4.8,14.5,0,No
2/12/2000,41,82,17.2,4,17,0,No
2/13/2000,39,81,18,3.9,18.8,0,No
2/14/2000,16,82,19,5.2,7.8,0,No
2/15/2000,57,76,16.5,4.2,16.8,0,No
2/16/2000,64,68,15.8,3,22.7,0,No
2/17/2000,88,81,15.7,1.8,23.4,Trace,No
2/18/2000,88,83,16.7,2.8,22.3,0,No
2/19/2000,88,92,19.7,5.5,5.5,Trace,No
2/20/2000,94,95,19.7,7.7,10.5,0.7,No
2/21/2000,95,91,14.6,1.8,25.4,1.4,No
2/22/2000,100,94,14.9,2.2,20.6,1.7,No
2/23/2000,100,95,15,1.6,12,4.1,No
2/24/2000,100,88,13.6,2.2,8.2,0.9,No
2/25/2000,92,82,12.1,1.9,10.6,2.5,No
2/26/2000,89,65,11.7,3.2,12.4,1.2,No
2/27/2000,93,67,12.2,1.8,10.5,Trace,No
2/28/2000,95,90,12.2,2.9,6.3,2.7,No
2/29/2000,95,84,12.6,3.1,7.8,5.4,No
3/1/2000,98,93,12.8,3.4,7.9,12.8,No
3/2/2000,95,93,14.9,3.5,10.2,14.6,No
3/3/2000,72,86,17.2,4.5,16.1,0,No
3/4/2000,48,82,20,6.4,10,0,No
3/5/2000,28,82,21,6.9,9.2,0,No
3/6/2000,85,84,18.6,3.9,18.1,0,No
3/7/2000,58,75,18.1,3.7,23.4,0,No
3/8/2000,70,77,16.9,2.6,23,0,No
3/9/2000,58,76,16.2,3.1,28.6,0,No
3/10/2000,78,81,16.5,3.3,23.9,Trace,No
3/11/2000,87,89,17.9,3,11.3,9.8,No
3/12/2000,95,93,17.4,3.6,16.1,2.1,No
3/13/2000,92,86,16.9,2.9,23.8,1.3,No
3/14/2000,89,86,18,2.5,17.9,Trace,No
3/15/2000,57,87,19.9,5.5,12.5,0,No
3/16/2000,85,87,20.2,5,7.7,0.3,No
3/17/2000,96,70,17.1,2.2,31.7,Trace,No
3/18/2000,89,79,18,4.1,20.6,Trace,No
3/19/2000,89,83,21,5.3,7.6,Trace,No
3/20/2000,74,73,19.3,2.9,24.8,Trace,No
3/21/2000,58,70,20.6,4.9,15.6,0,No
3/22/2000,21,83,22.4,4.8,9.3,0,No
3/23/2000,52,81,22.2,4.9,10.8,0,No
3/24/2000,67,71,20.2,3.4,14,0,No
3/25/2000,61,57,19.7,3.8,22.2,0,No
3/26/2000,73,66,20.2,3.9,9.9,0,No
3/27/2000,17,71,20.9,5.5,6.8,0,No
3/28/2000,22,68,22.9,8.3,5.5,0,No
3/29/2000,20,67,22.6,5.2,14,0,No
3/30/2000,56,67,21.5,5.4,17,0,No
3/31/2000,86,85,22.8,3.7,13.5,Trace,No
4/1/2000,86,87,24.1,5.4,10,1.5,No
4/2/2000,92,90,21.3,2,19.6,47.9,No
4/3/2000,93,95,22.4,4,10.3,124.2,No
4/4/2000,92,93,21,1.6,6.7,0.3,No
4/5/2000,86,81,21.9,3.9,6.6,2.3,No
4/6/2000,89,76,20.1,1.5,27.1,Trace,No
4/7/2000,95,79,20.7,2.7,20.3,Trace,No
4/8/2000,92,84,21.1,1,19.3,Trace,No
4/9/2000,77,84,22,4.5,16,Trace,No
4/10/2000,91,86,23.2,4.2,8.1,0.3,No
4/11/2000,86,79,21.2,1.6,26,Trace,No
4/12/2000,90,84,22,4.1,11.5,0.8,No
4/13/2000,88,93,23.1,1.6,8.2,16.8,No
4/14/2000,91,91,24.4,4.6,9.3,60.8,No
4/15/2000,83,73,22.2,4.2,10.4,2.1,No
4/16/2000,49,62,21.3,5.6,11.7,0,No
4/17/2000,76,74,21.7,4.3,19.5,0,No
4/18/2000,76,81,23.1,4.2,17.9,0,No
4/19/2000,65,85,25.1,5.4,10.7,Trace,No
4/20/2000,67,81,26.3,4.1,7.3,0,No
4/21/2000,85,90,25.8,1.9,4.4,0.7,No
4/22/2000,86,85,26.4,4.6,5.1,16.5,No
4/23/2000,96,97,23.4,3.1,12.1,172.5,No
4/24/2000,96,93,22.4,0.9,23,1,No
4/25/2000,85,85,26.3,7.8,10.8,0.1,No
4/26/2000,89,86,26.8,6,12,33.3,No
4/27/2000,88,87,23.6,4.9,15.9,1.9,No
4/28/2000,92,94,20.7,2,25.7,54.2,No
4/29/2000,91,95,22.6,3.7,15.3,9.9,No
4/30/2000,87,89,26.3,5.8,6.9,0.6,No
5/1/2000,82,85,27.6,4.8,8,10,No
5/2/2000,94,94,24.9,3.6,9.3,69.1,No
5/3/2000,92,87,22.3,3.7,20,5.1,No
5/4/2000,60,80,22.7,4.4,16.9,0,No
5/5/2000,49,81,24.5,5.5,12.8,0,No
5/6/2000,43,83,25.6,5.7,10.9,0,No
5/7/2000,70,82,25.5,3,14.8,0,No
5/8/2000,85,81,24.4,2.1,19.9,0,No
5/9/2000,90,82,24.8,3.5,18.5,0,No
5/10/2000,95,95,23.5,2.5,7.5,50.7,No
5/11/2000,88,82,24.2,4.1,18.3,0.6,No
5/12/2000,89,82,25.2,3.5,13.8,Trace,No
